GEO_ID,NAME,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
1500000US490011001001,"Block Group 1, Census Tract 1001, Beaver County, Utah",158,78,0,11,0,11,0,11,0,11,0,11,28,38,23,33,0,11,0,11,0,11,53,37,19,28,17,27,18,27,0,11,0,11
1500000US490011001002,"Block Group 2, Census Tract 1001, Beaver County, Utah",485,120,9,17,41,33,53,32,46,39,19,22,24,34,15,20,31,31,28,35,19,24,33,30,45,40,47,58,0,11,25,26,50,43
1500000US490011001003,"Block Group 3, Census Tract 1001, Beaver County, Utah",581,99,28,28,4,8,0,11,30,35,60,51,28,35,32,32,17,23,0,11,116,59,128,61,64,50,5,8,7,14,62,50,0,11
1500000US490011002001,"Block Group 1, Census Tract 1002, Beaver County, Utah",232,74,0,11,0,11,19,21,0,11,0,11,0,11,0,11,40,36,16,24,19,43,34,26,28,20,44,31,30,31,2,5,0,11
1500000US490011002002,"Block Group 2, Census Tract 1002, Beaver County, Utah",314,63,18,22,19,19,6,9,20,22,11,12,22,21,15,23,7,9,4,6,50,26,37,21,40,24,16,15,39,34,6,9,4,6
1500000US490011002003,"Block Group 3, Census Tract 1002, Beaver County, Utah",512,92,57,50,38,38,11,16,24,24,35,25,30,33,16,20,19,18,55,35,27,29,52,34,75,41,18,17,38,31,15,15,2,7
1500000US490039601001,"Block Group 1, Census Tract 9601, Box Elder County, Utah",236,38,13,14,2,2,5,6,3,4,15,14,14,11,6,7,17,21,0,11,8,8,61,22,63,24,17,12,10,9,0,11,2,3
1500000US490039601002,"Block Group 2, Census Tract 9601, Box Elder County, Utah",605,72,6,5,17,14,7,6,13,12,43,32,8,10,46,42,21,11,20,13,39,19,116,69,87,41,71,31,64,57,31,21,16,10
1500000US490039601003,"Block Group 3, Census Tract 9601, Box Elder County, Utah",174,61,17,25,2,3,10,11,6,8,0,11,11,9,5,6,0,11,38,48,20,16,29,17,2,3,21,26,0,11,1,3,12,15
1500000US490039602001,"Block Group 1, Census Tract 9602, Box Elder County, Utah",509,82,20,25,7,8,4,5,5,6,9,9,6,5,16,21,5,6,27,27,32,21,65,36,107,43,136,73,33,25,2,3,35,32
1500000US490039602002,"Block Group 2, Census Tract 9602, Box Elder County, Utah",322,91,5,9,0,11,0,11,0,11,0,11,15,21,47,38,0,11,11,16,24,23,52,37,27,24,24,27,86,88,13,18,18,24
1500000US490039602003,"Block Group 3, Census Tract 9602, Box Elder County, Utah",618,67,22,17,19,21,0,11,21,13,19,13,41,19,33,20,67,37,52,32,60,34,97,31,72,29,58,24,33,23,20,14,4,7
1500000US490039602004,"Block Group 4, Census Tract 9602, Box Elder County, Utah",511,95,5,5,7,9,4,5,5,6,4,5,27,22,23,20,12,9,24,21,36,27,152,101,62,21,61,33,39,26,39,19,11,9
1500000US490039602005,"Block Group 5, Census Tract 9602, Box Elder County, Utah",192,46,3,5,3,6,6,7,3,5,11,16,8,13,0,11,3,4,6,10,9,8,21,16,57,28,23,21,18,15,14,11,7,7
1500000US490039602006,"Block Group 6, Census Tract 9602, Box Elder County, Utah",265,86,4,6,5,8,10,10,31,31,17,16,21,22,12,10,7,9,6,7,10,8,91,81,16,13,26,16,5,9,0,11,4,6
1500000US490039603001,"Block Group 1, Census Tract 9603, Box Elder County, Utah",459,91,5,6,0,11,9,8,22,27,5,6,24,33,2,4,32,36,79,78,78,53,11,8,78,43,74,44,17,13,7,9,16,23
1500000US490039603002,"Block Group 2, Census Tract 9603, Box Elder County, Utah",328,102,24,39,15,24,41,56,0,11,0,11,16,25,17,26,0,11,72,79,16,24,51,39,40,43,36,44,0,11,0,11,0,11
1500000US490039603003,"Block Group 3, Census Tract 9603, Box Elder County, Utah",377,112,25,41,0,11,43,63,0,11,96,92,46,45,20,31,11,17,13,20,87,84,18,28,18,28,0,11,0,11,0,11,0,11
1500000US490039603004,"Block Group 4, Census Tract 9603, Box Elder County, Utah",595,133,0,11,0,11,0,11,7,29,60,75,27,32,16,26,32,37,50,41,127,87,96,62,105,77,54,52,0,11,21,34,0,11
1500000US490039603005,"Block Group 5, Census Tract 9603, Box Elder County, Utah",786,143,0,11,42,49,57,54,43,42,10,18,153,111,53,71,9,15,16,26,69,63,105,77,131,91,20,31,36,42,19,30,23,35
1500000US490039603006,"Block Group 6, Census Tract 9603, Box Elder County, Utah",273,69,12,21,0,11,0,11,0,11,0,11,32,37,27,29,17,33,3,5,54,50,40,43,37,42,19,31,27,31,5,7,0,11
1500000US490039604001,"Block Group 1, Census Tract 9604, Box Elder County, Utah",651,93,28,42,7,10,0,11,8,11,20,20,0,11,15,15,24,36,101,82,72,41,112,48,66,36,103,61,42,27,14,18,39,36
1500000US490039604002,"Block Group 2, Census Tract 9604, Box Elder County, Utah",525,60,11,9,7,5,11,12,11,12,14,14,12,10,14,11,26,17,29,17,65,30,48,19,93,34,84,31,51,30,34,13,15,11
1500000US490039604003,"Block Group 3, Census Tract 9604, Box Elder County, Utah",413,54,19,15,1,4,8,10,16,14,5,8,12,17,24,19,31,27,40,24,100,42,19,14,55,27,45,23,17,14,13,12,8,11
1500000US490039605001,"Block Group 1, Census Tract 9605, Box Elder County, Utah",444,73,0,11,0,11,8,12,9,15,0,11,27,42,17,17,8,15,28,27,57,30,124,55,44,32,46,33,34,45,11,18,31,25
1500000US490039605002,"Block Group 2, Census Tract 9605, Box Elder County, Utah",382,60,0,11,0,11,12,17,9,14,0,11,4,7,33,36,34,26,29,27,33,28,45,38,44,42,47,30,20,23,72,45,0,11
1500000US490039605003,"Block Group 3, Census Tract 9605, Box Elder County, Utah",628,120,77,63,25,40,36,22,49,47,41,52,19,18,20,22,45,43,37,31,33,30,60,51,131,78,20,22,0,11,12,20,23,33
