"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","id","Geographic Area Name"
"72596","22210","1500000US490011001001","Block Group 1, Census Tract 1001, Beaver County, Utah"
"45625","15664","1500000US490011001002","Block Group 2, Census Tract 1001, Beaver County, Utah"
"58697","10046","1500000US490011001003","Block Group 3, Census Tract 1001, Beaver County, Utah"
"66667","21761","1500000US490011002001","Block Group 1, Census Tract 1002, Beaver County, Utah"
"54659","15675","1500000US490011002002","Block Group 2, Census Tract 1002, Beaver County, Utah"
"47868","8161","1500000US490011002003","Block Group 3, Census Tract 1002, Beaver County, Utah"
"65682","6742","1500000US490039601001","Block Group 1, Census Tract 9601, Box Elder County, Utah"
"64865","13239","1500000US490039601002","Block Group 2, Census Tract 9601, Box Elder County, Utah"
"49000","16961","1500000US490039601003","Block Group 3, Census Tract 9601, Box Elder County, Utah"
"88097","7183","1500000US490039602001","Block Group 1, Census Tract 9602, Box Elder County, Utah"
"78750","47511","1500000US490039602002","Block Group 2, Census Tract 9602, Box Elder County, Utah"
"56250","9730","1500000US490039602003","Block Group 3, Census Tract 9602, Box Elder County, Utah"
"67656","5446","1500000US490039602004","Block Group 4, Census Tract 9602, Box Elder County, Utah"
"92870","4608","1500000US490039602005","Block Group 5, Census Tract 9602, Box Elder County, Utah"
"62560","25113","1500000US490039602006","Block Group 6, Census Tract 9602, Box Elder County, Utah"
"54201","21857","1500000US490039603001","Block Group 1, Census Tract 9603, Box Elder County, Utah"
"47361","16705","1500000US490039603002","Block Group 2, Census Tract 9603, Box Elder County, Utah"
"32042","15069","1500000US490039603003","Block Group 3, Census Tract 9603, Box Elder County, Utah"
"58009","13894","1500000US490039603004","Block Group 4, Census Tract 9603, Box Elder County, Utah"
"53500","28690","1500000US490039603005","Block Group 5, Census Tract 9603, Box Elder County, Utah"
"56382","27994","1500000US490039603006","Block Group 6, Census Tract 9603, Box Elder County, Utah"
"64432","10092","1500000US490039604001","Block Group 1, Census Tract 9604, Box Elder County, Utah"
"77417","7441","1500000US490039604002","Block Group 2, Census Tract 9604, Box Elder County, Utah"
"52070","1613","1500000US490039604003","Block Group 3, Census Tract 9604, Box Elder County, Utah"
"69722","6518","1500000US490039605001","Block Group 1, Census Tract 9605, Box Elder County, Utah"
"72143","33965","1500000US490039605002","Block Group 2, Census Tract 9605, Box Elder County, Utah"
"45179","14739","1500000US490039605003","Block Group 3, Census Tract 9605, Box Elder County, Utah"
"36667","23383","1500000US490039605004","Block Group 4, Census Tract 9605, Box Elder County, Utah"
"53447","18718","1500000US490039606011","Block Group 1, Census Tract 9606.01, Box Elder County, Utah"
"67708","19680","1500000US490039606012","Block Group 2, Census Tract 9606.01, Box Elder County, Utah"
"37833","18972","1500000US490039606013","Block Group 3, Census Tract 9606.01, Box Elder County, Utah"
"40855","11632","1500000US490039606014","Block Group 4, Census Tract 9606.01, Box Elder County, Utah"
"80375","16221","1500000US490039606021","Block Group 1, Census Tract 9606.02, Box Elder County, Utah"
"80500","23884","1500000US490039606022","Block Group 2, Census Tract 9606.02, Box Elder County, Utah"
"56000","11214","1500000US490039606023","Block Group 3, Census Tract 9606.02, Box Elder County, Utah"
"54157","8902","1500000US490039607011","Block Group 1, Census Tract 9607.01, Box Elder County, Utah"
"52813","11828","1500000US490039607012","Block Group 2, Census Tract 9607.01, Box Elder County, Utah"
"47198","7742","1500000US490039607013","Block Group 3, Census Tract 9607.01, Box Elder County, Utah"
"46196","9358","1500000US490039607021","Block Group 1, Census Tract 9607.02, Box Elder County, Utah"
"43438","19382","1500000US490039607022","Block Group 2, Census Tract 9607.02, Box Elder County, Utah"
"85625","19424","1500000US490039608011","Block Group 1, Census Tract 9608.01, Box Elder County, Utah"
"75329","11327","1500000US490039608012","Block Group 2, Census Tract 9608.01, Box Elder County, Utah"
"81250","15513","1500000US490039608013","Block Group 3, Census Tract 9608.01, Box Elder County, Utah"
"94390","8027","1500000US490039608021","Block Group 1, Census Tract 9608.02, Box Elder County, Utah"
"72708","24123","1500000US490039608022","Block Group 2, Census Tract 9608.02, Box Elder County, Utah"
"91016","13731","1500000US490039608023","Block Group 3, Census Tract 9608.02, Box Elder County, Utah"
"69153","8153","1500000US490050001011","Block Group 1, Census Tract 1.01, Cache County, Utah"
"60577","6598","1500000US490050001012","Block Group 2, Census Tract 1.01, Cache County, Utah"
"51375","9010","1500000US490050001013","Block Group 3, Census Tract 1.01, Cache County, Utah"
"57500","11109","1500000US490050001021","Block Group 1, Census Tract 1.02, Cache County, Utah"
"59531","9200","1500000US490050001022","Block Group 2, Census Tract 1.02, Cache County, Utah"
"64531","11127","1500000US490050002011","Block Group 1, Census Tract 2.01, Cache County, Utah"
"66994","16822","1500000US490050002012","Block Group 2, Census Tract 2.01, Cache County, Utah"
"62206","9641","1500000US490050002021","Block Group 1, Census Tract 2.02, Cache County, Utah"
"65938","9557","1500000US490050002022","Block Group 2, Census Tract 2.02, Cache County, Utah"
"85288","25930","1500000US490050002023","Block Group 3, Census Tract 2.02, Cache County, Utah"
"93456","11584","1500000US490050002024","Block Group 4, Census Tract 2.02, Cache County, Utah"
"54375","10497","1500000US490050003001","Block Group 1, Census Tract 3, Cache County, Utah"
"68542","12033","1500000US490050003002","Block Group 2, Census Tract 3, Cache County, Utah"
"88833","43830","1500000US490050003003","Block Group 3, Census Tract 3, Cache County, Utah"
"37344","15838","1500000US490050003004","Block Group 4, Census Tract 3, Cache County, Utah"
"38625","12133","1500000US490050004011","Block Group 1, Census Tract 4.01, Cache County, Utah"
"107125","30473","1500000US490050004012","Block Group 2, Census Tract 4.01, Cache County, Utah"
"104125","27761","1500000US490050004021","Block Group 1, Census Tract 4.02, Cache County, Utah"
"79076","7987","1500000US490050004022","Block Group 2, Census Tract 4.02, Cache County, Utah"
"89485","17801","1500000US490050004031","Block Group 1, Census Tract 4.03, Cache County, Utah"
"74226","9191","1500000US490050004032","Block Group 2, Census Tract 4.03, Cache County, Utah"
"62917","22592","1500000US490050004033","Block Group 3, Census Tract 4.03, Cache County, Utah"
"102708","57550","1500000US490050004034","Block Group 4, Census Tract 4.03, Cache County, Utah"
"43935","14254","1500000US490050005011","Block Group 1, Census Tract 5.01, Cache County, Utah"
"27438","5150","1500000US490050005012","Block Group 2, Census Tract 5.01, Cache County, Utah"
"33229","6129","1500000US490050005013","Block Group 3, Census Tract 5.01, Cache County, Utah"
"40352","11016","1500000US490050005014","Block Group 4, Census Tract 5.01, Cache County, Utah"
"44886","4197","1500000US490050005021","Block Group 1, Census Tract 5.02, Cache County, Utah"
"40945","5048","1500000US490050005022","Block Group 2, Census Tract 5.02, Cache County, Utah"
"58343","12194","1500000US490050006001","Block Group 1, Census Tract 6, Cache County, Utah"
"41311","5046","1500000US490050006002","Block Group 2, Census Tract 6, Cache County, Utah"
"27228","17385","1500000US490050006003","Block Group 3, Census Tract 6, Cache County, Utah"
"43865","8397","1500000US490050006004","Block Group 4, Census Tract 6, Cache County, Utah"
"24286","7837","1500000US490050006005","Block Group 5, Census Tract 6, Cache County, Utah"
"27592","7245","1500000US490050006006","Block Group 6, Census Tract 6, Cache County, Utah"
"96008","11671","1500000US490050007011","Block Group 1, Census Tract 7.01, Cache County, Utah"
"71776","17850","1500000US490050007012","Block Group 2, Census Tract 7.01, Cache County, Utah"
"-","**","1500000US490050007013","Block Group 3, Census Tract 7.01, Cache County, Utah"
"26071","7182","1500000US490050007021","Block Group 1, Census Tract 7.02, Cache County, Utah"
"-","**","1500000US490050007022","Block Group 2, Census Tract 7.02, Cache County, Utah"
"20956","5974","1500000US490050007023","Block Group 3, Census Tract 7.02, Cache County, Utah"
"24254","6687","1500000US490050008001","Block Group 1, Census Tract 8, Cache County, Utah"
"56786","38433","1500000US490050008002","Block Group 2, Census Tract 8, Cache County, Utah"
"26020","11503","1500000US490050008003","Block Group 3, Census Tract 8, Cache County, Utah"
"33438","18868","1500000US490050008004","Block Group 4, Census Tract 8, Cache County, Utah"
"33804","5832","1500000US490050009001","Block Group 1, Census Tract 9, Cache County, Utah"
"39808","21590","1500000US490050009002","Block Group 2, Census Tract 9, Cache County, Utah"
"58259","27966","1500000US490050009003","Block Group 3, Census Tract 9, Cache County, Utah"
"54375","8436","1500000US490050010011","Block Group 1, Census Tract 10.01, Cache County, Utah"
"54327","19962","1500000US490050010012","Block Group 2, Census Tract 10.01, Cache County, Utah"
"40500","10282","1500000US490050010021","Block Group 1, Census Tract 10.02, Cache County, Utah"
"36708","15535","1500000US490050010022","Block Group 2, Census Tract 10.02, Cache County, Utah"
"44476","11358","1500000US490050010023","Block Group 3, Census Tract 10.02, Cache County, Utah"
"53966","19323","1500000US490050010024","Block Group 4, Census Tract 10.02, Cache County, Utah"
"64950","10339","1500000US490050011011","Block Group 1, Census Tract 11.01, Cache County, Utah"
"90682","21125","1500000US490050011012","Block Group 2, Census Tract 11.01, Cache County, Utah"
"61111","8664","1500000US490050011013","Block Group 3, Census Tract 11.01, Cache County, Utah"
"102656","17272","1500000US490050011021","Block Group 1, Census Tract 11.02, Cache County, Utah"
"52250","10402","1500000US490050011022","Block Group 2, Census Tract 11.02, Cache County, Utah"
"96594","7315","1500000US490050011023","Block Group 3, Census Tract 11.02, Cache County, Utah"
"82037","11765","1500000US490050012011","Block Group 1, Census Tract 12.01, Cache County, Utah"
"102560","39243","1500000US490050012012","Block Group 2, Census Tract 12.01, Cache County, Utah"
"76522","10506","1500000US490050012013","Block Group 3, Census Tract 12.01, Cache County, Utah"
"92000","21783","1500000US490050012021","Block Group 1, Census Tract 12.02, Cache County, Utah"
"87862","11265","1500000US490050012022","Block Group 2, Census Tract 12.02, Cache County, Utah"
"84938","24758","1500000US490050013001","Block Group 1, Census Tract 13, Cache County, Utah"
"88472","11961","1500000US490050013002","Block Group 2, Census Tract 13, Cache County, Utah"
"92167","24359","1500000US490050013003","Block Group 3, Census Tract 13, Cache County, Utah"
"73438","18177","1500000US490050014011","Block Group 1, Census Tract 14.01, Cache County, Utah"
"54722","14107","1500000US490050014012","Block Group 2, Census Tract 14.01, Cache County, Utah"
"72188","34981","1500000US490050014013","Block Group 3, Census Tract 14.01, Cache County, Utah"
"49567","20672","1500000US490050014021","Block Group 1, Census Tract 14.02, Cache County, Utah"
"80417","17504","1500000US490050014022","Block Group 2, Census Tract 14.02, Cache County, Utah"
"54226","14528","1500000US490050014023","Block Group 3, Census Tract 14.02, Cache County, Utah"
"87083","5849","1500000US490050015001","Block Group 1, Census Tract 15, Cache County, Utah"
"74167","13456","1500000US490050015002","Block Group 2, Census Tract 15, Cache County, Utah"
"57500","20783","1500000US490059801001","Block Group 1, Census Tract 9801, Cache County, Utah"
"83043","20047","1500000US490070001001","Block Group 1, Census Tract 1, Carbon County, Utah"
"50862","9164","1500000US490070001002","Block Group 2, Census Tract 1, Carbon County, Utah"
"51051","5556","1500000US490070002001","Block Group 1, Census Tract 2, Carbon County, Utah"
"73307","7707","1500000US490070002002","Block Group 2, Census Tract 2, Carbon County, Utah"
"72353","20728","1500000US490070002003","Block Group 3, Census Tract 2, Carbon County, Utah"
"36607","25252","1500000US490070003001","Block Group 1, Census Tract 3, Carbon County, Utah"
